DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Part Status,Function,Output Configuration,Topology,Output Type,Number of Outputs,Voltage - Input (Min),Voltage - Input (Max),Voltage - Output (Min/Fixed),Voltage - Output (Max),Current - Output,Frequency - Switching,Synchronous Rectifier,Operating Temperature,Mounting Type,Package / Case,Supplier Device Package
"296-11618-2-ND,296-11618-1-ND,296-11618-6-ND",TPS62007DGSR,Texas Instruments,Texas Instruments,IC REG BUCK 3.3V 600MA 10VSSOP,"2,492",2.32,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,2.5V,5.5V,3.3V,-,600mA,750kHz,Yes,-40°C ~ 85°C (TA),Surface Mount,"10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)",10-VSSOP
"296-15902-2-ND,296-15902-1-ND,296-15902-6-ND",TPS62046DRCR,Texas Instruments,Texas Instruments,IC REG BUCK 3.3V 1.2A 10VSON,"4,751",2.39,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,2.5V,6V,3.3V,-,1.2A,1.25MHz,Yes,-40°C ~ 85°C (TA),Surface Mount,10-VFDFN Exposed Pad,10-VSON (3x3)
"576-3282-2-ND,576-3282-1-ND,576-3282-6-ND",MIC2238-S4YML-TR,Microchip Technology,Microchip Technology,IC REG BUCK 1.2V/3.3V 0.8A 12MLF,"6,321",2.28,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,2,2.5V,5.5V,"1.2V, 3.3V",-,800mA,2.5MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"12-VFDFN Exposed Pad, 12-MLF®",12-MLF™ (4x4)
"296-41752-2-ND,296-41752-1-ND,296-41752-6-ND",TPS54356PWPR,Texas Instruments,Texas Instruments,IC REG BUCK 3.3V 3A 16HTSSOP,"2,209",3.81,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",SWIFT™,Active,Step-Down,Positive,Buck,Fixed,1,4.5V,20V,3.3V,-,3A,"250kHz, 500kHz",Yes,-40°C ~ 85°C (TA),Surface Mount,"16-PowerTSSOP (0.173"", 4.40mm Width)",16-HTSSOP
"296-38368-2-ND,296-38368-1-ND,296-38368-6-ND",TPS62182YZFT,Texas Instruments,Texas Instruments,IC REG BUCK 3.3V 6A 24DSBGA,647,3.93,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,4V,15V,3.3V,-,6A,2MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"24-UFBGA, DSBGA",24-DSBGA
175-MAX17644BATE+-ND,MAX17644BATE+,Analog Devices Inc./Maxim Integrated,Analog Devices Inc./Maxim Integrated,4.5V TO 36V,"1,901",3.02,0,1,Tray,Himalaya,Active,Step-Down,Positive,Buck,Fixed,1,4.5V,36V,5V,-,2.7A,400kHz ~ 2.2MHz,Yes,-40°C ~ 125°C (TA),Surface Mount,16-WFQFN Exposed Pad,16-TQFN (3x3)
"296-49200-2-ND,296-49200-1-ND,296-49200-6-ND",LM2853MHX-3.3/NOPB,Texas Instruments,Texas Instruments,IC REG BUCK 3.3V 3A 14HTSSOP,"3,530",5,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",SIMPLE SWITCHER®,Active,Step-Down,Positive,Buck,Fixed,1,3V,5.5V,3.3V,-,3A,550kHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"14-TSSOP (0.173"", 4.40mm Width) Exposed Pad",14-HTSSOP
"505-LT8618IDDB-3.3#TRMPBFTR-ND,505-LT8618IDDB-3.3#TRMPBFCT-ND,505-LT8618IDDB-3.3#TRMPBFDKR-ND",LT8618IDDB-3.3#TRMPBF,Analog Devices Inc.,Analog Devices Inc.,HIGH EFFICIENCY 60V/100MA SYNCHR,979,5.34,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,3.4V,60V,3.3V,-,100mA,200kHz ~ 2.2MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,10-WFDFN Exposed Pad,10-DFN (3x2)
296-12129-5-ND,TPS54616PWP,Texas Instruments,Texas Instruments,IC REG BUCK 3.3V 6A 28HTSSOP,708,4.57,0,1,Tube,SWIFT™,Active,Step-Down,Positive,Buck,Fixed,1,3V,6V,3.3V,-,6A,"350kHz, 550kHz",Yes,-40°C ~ 125°C (TJ),Surface Mount,"28-PowerTSSOP (0.173"", 4.40mm Width)",28-HTSSOP
175-MAX17634BATP+-ND,MAX17634BATP+,Analog Devices Inc./Maxim Integrated,Analog Devices Inc./Maxim Integrated,IC REG BUCK ADJ 4.25A,354,4.58,0,1,Tube,-,Active,Step-Down,Positive,Buck,Fixed,1,4.5V,36V,5V,-,4.25A,400kHz ~ 2.2MHz,Yes,-40°C ~ 125°C (TA),Surface Mount,20-WFQFN Exposed Pad,20-TQFN (4x4)
